"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.218223458E0,-4.716087505E-2,7.364945412E-1,6.284388900E-2
3.228233458E0,7.517816499E-3,7.277106643E-1,8.668104559E-2
3.238243458E0,3.108650446E-2,6.614394188E-1,1.167998090E-1
3.248253458E0,1.685004495E-2,5.802382827E-1,1.246667877E-1
3.258263458E0,4.133331776E-2,5.546817780E-1,8.255229890E-2
3.268273458E0,1.009574980E-1,6.310465336E-1,-1.281123608E-2
3.278283458E0,1.724842042E-1,7.782459259E-1,-9.160799533E-2
3.288293458E0,2.335899025E-1,9.327628016E-1,-1.307719201E-1
3.298303458E0,2.853494585E-1,1.045251012E0,-1.387864053E-1
3.308313458E0,2.983568609E-1,1.092576504E0,-1.111601070E-1
3.318323458E0,2.416746765E-1,1.066885591E0,-5.024219677E-2
3.328333458E0,1.526103169E-1,9.913471937E-1,2.991868556E-2
3.338343458E0,7.532833517E-2,9.115758538E-1,1.013741344E-1
3.348353458E0,3.630343452E-2,8.259477615E-1,1.473778486E-1
3.358363458E0,1.350438781E-2,8.020187616E-1,1.360789537E-1
3.368373458E0,2.940319292E-2,8.642773628E-1,5.584111810E-2
3.378383458E0,1.175836250E-1,9.575122595E-1,-2.409623563E-2
3.388393458E0,2.289061546E-1,1.094114304E0,-8.572844416E-2
3.398402458E0,3.117086589E-1,1.203991294E0,-1.050859839E-1
3.408412458E0,3.496315479E-1,1.243605018E0,-1.046849117E-1
3.418422458E0,3.277035356E-1,1.212761283E0,-7.581972331E-2
3.428432458E0,2.711020410E-1,1.128080964E0,-1.862620376E-2
3.438442458E0,2.207247019E-1,1.067013979E0,4.030708224E-2
3.448452458E0,1.810156405E-1,1.061066628E0,9.832990170E-2
3.458462458E0,1.421371996E-1,1.049916506E0,1.337103546E-1
3.468472458E0,1.286935657E-1,1.047814965E0,1.232830063E-1
3.478482458E0,1.547422111E-1,1.089184284E0,1.030563042E-1
3.488492458E0,2.320109010E-1,1.121682763E0,5.841213465E-2
3.498502458E0,3.344044089E-1,1.141610622E0,-4.142364953E-3
3.508512458E0,4.171275198E-1,1.223409891E0,-6.488560140E-2
3.518522458E0,4.441811740E-1,1.287634134E0,-1.019169539E-1
3.528532458E0,4.148118198E-1,1.276289821E0,-1.322463751E-1
3.538542458E0,3.761904538E-1,1.178957939E0,-1.608244926E-1
3.548552458E0,3.527977765E-1,1.097387433E0,-1.661510915E-1
3.558562458E0,3.878814876E-1,1.076483488E0,-1.735973209E-1
3.568572458E0,4.701707661E-1,1.091346145E0,-1.562292576E-1
3.578582458E0,5.291262269E-1,1.110616803E0,-1.197195649E-1
3.588592458E0,5.115301609E-1,1.152084589E0,-6.484939158E-2
3.598602458E0,4.361104965E-1,1.207492113E0,-4.059154075E-3
3.608612458E0,3.506240845E-1,1.225401282E0,8.075161278E-2
3.618622458E0,2.831833065E-1,1.119962215E0,1.747451574E-1
3.628632458E0,2.321912199E-1,9.670538902E-1,2.287774980E-1
3.638642458E0,2.102613300E-1,8.610422611E-1,2.490400374E-1
3.648652458E0,2.310718149E-1,8.436315656E-1,2.302618325E-1
3.658662458E0,3.048342764E-1,8.443305492E-1,2.046901733E-1
3.668672458E0,4.101039767E-1,8.901446462E-1,1.924369633E-1
3.678682458E0,4.963898361E-1,9.215885401E-1,1.760421395E-1
3.688692458E0,5.217817426E-1,8.929609060E-1,1.448373497E-1
3.698702458E0,5.169858932E-1,8.331686258E-1,9.747036546E-2
3.708712458E0,5.210171342E-1,7.931740880E-1,3.284796327E-2
3.718722458E0,5.483028889E-1,7.687937617E-1,-2.187933400E-2
3.728732458E0,5.664664507E-1,7.206049562E-1,-5.567165464E-2
3.738742458E0,5.495420098E-1,6.833477020E-1,-6.685052067E-2
3.748752458E0,5.162964463E-1,6.861789227E-1,-3.450722992E-2
3.758762458E0,4.713585675E-1,6.861115098E-1,3.470244631E-2
3.768772458E0,3.952904344E-1,6.574223042E-1,1.224085912E-1
3.778782458E0,2.904311121E-1,5.865898132E-1,2.093753368E-1
3.788792458E0,1.797962040E-1,5.110719204E-1,2.643821537E-1
3.798802458E0,7.333842665E-2,4.356096685E-1,3.017161191E-1
